Flow1,Flow2,Pressure,pH,Leak
2.5993428306022466,2.247823209132991,3.092617754753164,6.953838337694455,0
2.472347139765763,2.6835723894109553,3.190941664047013,6.932415769719183,0
2.6295377076201385,2.9244312394025265,2.860143242618086,6.951206337351134,0
2.804605971281605,2.7064930521102295,3.056296923669057,7.052682089830392,0
2.453169325055333,2.1961260068091972,2.9349357430878174,6.952530055558403,0
2.453172608610164,2.4031531854267496,2.9512874616235303,7.13161910324187,0
2.8158425631014783,2.7533822298373245,2.940760607576113,7.024665895044045,0
2.653486945830582,2.358466106876244,2.9136009230320186,7.009241806184744,0
2.4061051228130097,2.5887638856292456,3.004852162794483,6.957082110990939,0
2.608512008717193,2.6549268106858674,2.9169049883588962,7.03501549397045,0
2.4073164614375075,2.3146139056843835,3.0270456825779837,6.971218108688111,0
2.4068540492859487,2.48809492878764,2.994976189055086,7.006100490732268,0
2.548392454313207,1.8517465319861854,2.976105195313359,7.12800422691344,0
2.1173439510684404,2.295122471733142,2.9092436337958403,6.995197005013767,0
2.1550164334973934,2.449486369721368,2.942322866943167,7.057463666314284,0
2.3875424941518055,2.25044336360703,3.0755391225825757,6.964841178743706,0
2.2974337759331154,2.826482260786327,3.050091718762438,6.998250575475152,0
2.562849466519055,2.2139717244078736,2.902244475520145,7.0885400317817755,0
2.318395184895758,2.411991102660603,3.0099332305429227,6.968651647110612,0
2.2175392597329417,2.526148115457218,3.075138712337179,7.090622427899847,0
2.793129753784311,2.7882546578132232,2.833059471887863,7.0353875967727735,0
2.454844739902693,2.212827569764112,3.0543360192379936,6.971876661205287,0
2.5135056409375847,2.7326327504309917,2.933737624105415,7.031620386952776,0
2.215050362757309,2.5020466122039173,3.057059866859316,7.048627722481337,0
2.3911234550949634,2.30369826979041,2.9236740843457483,7.03109049811086,0
2.522184517941973,2.5924206948526543,2.8195117899335482,6.921488764005477,0
2.2698012845155393,2.539811939114694,2.8372457562116837,6.963643141208757,0
2.5751396036691343,2.379956624568241,3.0048084946661384,6.987624068222424,0
2.379872262016239,2.5139604169980037,3.025972250172148,6.996278328544998,0
2.441661250041345,2.422937280627648,2.909568337489559,7.031033604877534,0
2.3796586775541204,2.5227034690502497,3.0638592458777376,7.008885050046663,0
2.8704556369017875,2.6324261349042093,2.833847993773104,6.933232782064495,0
2.497300555052413,2.8172033632290705,2.993392020135268,7.019009892550298,0
2.28845781420882,2.2524369002346303,2.878898380023754,7.030529287264192,0
2.664508982420638,2.9266066749312536,2.934816389219784,7.027989522396552,0
2.2558312700057956,2.1095824400954997,3.0047398671316414,7.054039036277731,0
2.541772719000951,2.4696429809928833,2.913958663471605,7.041696107727446,0
2.108065975224045,2.6176634412969153,2.9615444455770175,7.022959003961422,0
2.234362790220314,2.5561983735470064,3.100629280921444,6.9964917144270675,0
2.5393722471738247,2.3754600960358814,2.942310813047685,6.9169519533242,0
2.6476933159990823,2.458375549928545,3.0835692112065143,7.02148091095663,0
2.534273656237994,2.4013998130682332,2.8870293145342383,7.010384384358155,0
2.476870343522352,2.382127048611158,3.0529804177915283,7.013578941859769,0
2.4397792608821423,2.669920419404205,3.14415686206579,6.9361625712089845,0
2.2042956019265145,2.5714030971930093,2.752835549987271,6.9459471729795865,0
2.3560311583210582,2.3614180809478693,2.920310474452952,7.052657642666645,0
2.4078722458080426,2.67991997508665,3.057707212718054,6.998022242307167,0
2.7114244452437832,2.561459904175322,2.9796954613957007,7.034075034868631,0
2.5687236579136923,2.662572423767792,3.037114587337131,7.001415918806523,0
2.147391968927453,2.6259257683847226,2.939601481328418,7.0014878069747875,0
2.564816793878959,2.3342009978155858,3.00865897874729,7.0469141902988,0
2.422983543916737,2.387963791960606,2.984432276460792,6.974197763589132,0
2.364615599938808,2.6494587210246525,3.116778206165981,7.004806038847049,0
2.6223352577681736,2.622074053086693,3.0254420843301215,6.976886235564748,0
2.70619990449919,2.4958196812071702,3.03376026620752,6.978275188628384,0
2.6862560238232396,2.5234654766617566,2.958812303387753,6.984541393826568,0
2.332156495355472,2.755532979157685,2.9512393775927506,7.011106688581686,0
2.438157524829757,2.381685722232834,2.956744181218038,6.976062568916826,0
2.5662526862807127,2.6094194762340077,3.03944521423783,7.062787806278676,0
2.695109025424472,2.459561469513221,2.9579015519179737,6.955269634889024,0
2.404165152430942,2.456463759354556,3.028977485689641,6.990656417791932,0
2.4628682046672368,2.719755370397438,3.2075400798645437,6.978013447086291,0
2.278733005198794,2.665083269797606,3.087112470343169,7.072348894217686,0
2.2607586751838658,2.6627019272001275,2.967397646783216,7.009827738825579,0
2.66250516447884,2.761095761430866,3.1201213922163946,7.0515922269734315,0
2.7712480057141646,2.5042007683265517,2.9591924626978447,6.925721981348151,0
2.485597975683933,2.6363905942589927,2.796187546482215,7.013352513293463,0
2.7007065795784047,2.437946648681309,2.8991913689082596,7.044481539781172,0
2.5723272050095267,2.5648332704976884,2.8129208078974144,7.004114199463771,0
2.3709760490789753,2.473971389126463,2.964848651595869,7.053274018753267,0
2.572279121101683,2.5193991929985438,3.0018418379189553,6.974135577494981,0
2.807607313293194,2.619031405087383,3.1676437312275283,7.070467372009279,0
2.4928347921780096,2.3363558633533055,3.0326927373764163,7.114944906180963,0
2.8129287311628013,2.9184774551370922,2.9780899471191136,6.981858071978017,0
1.976050979182051,2.2987965237000596,3.082940558118349,6.9777248739299615,0
